"('服务一般', '')"
"('味道', '味道一般')"
"('菜品种类', '多')","('冰淇淋味道', '一般')","('味道', '一般')"
"('大叔一般', '')","('服务人员', '服务人员一般')"
"('东西种类', '少')","('种类', '不多')"
"('海鲜', '不新鲜')","('菜品', '一般')"


"('服务人员', '冷淡')"
"('环境', '一般')","('环境', '差')","('价格昂贵', '')","('饮品', '一般')"

"('服务态度', '差')","('态度', '不好')"




"('口感', '差劲')","('整体一般', '')"




"('牛肉', '不太新鲜')"
"('量', '少')"


"('服务态度', '差')"
"('海鲜', '少')"

"('环境', '差')"






"('海鲜', '少')"
"('烤肉一般', '')"
"('东西', '难吃')"



"('服务态度', '差')"




"('服务人员', '冷淡')"




"('感觉', '一般')"





"('味道', '咸')"
"('服务一般', '')","('菜品', '不新鲜')"
"('种类', '不多')","('调料', '少')"
"('服务态度', '服务态度一般')"
"('环境', '一般')"

"('海鲜', '不新鲜')"

"('牛排', '咸')"





"('服务态度', '差')"



"('肉类', '多')","('海鲜不错', '')","('蛋糕', '难吃')","('海鲜一般', '')","('热菜', '少')"


"('肉类', '多')","('肉质不错', '')","('味道', '一般')"



"('服务态度', '差')"







"('服务态度', '差')","('态度', '不太好')","('态度', '不好')"



"('前台服务员态度', '恶劣')"

"('服务态度', '差')","('态度', '不好')","('质量', '一般')"
"('肉类', '多')","('蔬菜', '少')"


"('海鲜', '少')"
"('海鲜一般', '')"

"('服务人员', '服务人员一般')"



"('环境', '一般')","('感觉', '一般')"

"('服务一般', '')","('服务人员', '服务人员一般')"


"('东西', '不行')"





"('服务人员', '冷淡')"

"('海鲜', '少')"
"('菜品', '一般')"
"('菜品', '不好')","('味道', '味道一般')"
"('味道', '差劲')"



"('菜品种类', '少')","('种类', '不多')"

"('服务态度', '差')"








"('虾', '不太新鲜')"
"('牛肉一般', '')","('喝', '不好')"
"('羊肉一般', '')","('有些菜', '咸')"

"('服务一般', '')"



"('肉', '不新鲜')","('服务态度', '差')"
"('性价比', '低')"
"('素质', '差')"
"('态度', '不好')"

"('停车', '不便')"
"('服务态度', '差')"
"('海鲜', '不行')"
"('味道', '酸酸')"


"('海鲜', '少')"
"('口感', '差劲')"

"('服务态度', '差')"

