model,w-precision,w-recall,w-f1,precision,recall,f1,acc
svm,0.865296896,0.852975048,0.840399689,0.884739313,0.770326203,0.800714835,0.852975048
svm,0.82780476,0.798848369,0.776768846,0.852049497,0.720888809,0.739795164,0.798848369
svm,0.87838481,0.874039939,0.868276476,0.887469541,0.821968665,0.844174723,0.874039939
logic,0.879930151,0.876391555,0.870906596,0.887875143,0.824168325,0.84627652,0.876391555
logic,0.869103167,0.869481766,0.868743427,0.86760356,0.859373353,0.862894397,0.869481766
logic,0.805660876,0.796928983,0.78921129,0.812608679,0.767832762,0.776929645,0.796928983
logic,0.885563484,0.886372361,0.882829965,0.882436412,0.837393511,0.85544057,0.886372361
logic,0.837444432,0.83646833,0.836936134,0.786239735,0.789533977,0.787855744,0.83646833
logic,0.926696353,0.929366603,0.927542083,0.870712135,0.834269663,0.85103664,0.929366603
logic,0.89093109,0.890211132,0.888625258,0.892963728,0.870849457,0.879670533,0.890211132
logic,0.86235333,0.846065259,0.830978677,0.885724175,0.756557456,0.787684888,0.846065259
logic,0.824628475,0.791554702,0.766492805,0.850797845,0.709489484,0.726832736,0.791554702
logic,0.874078553,0.870199693,0.864260515,0.882188896,0.817580702,0.839423953,0.870199693
decisionTree,0.844963037,0.846065259,0.84542836,0.824175135,0.818853557,0.821404544,0.846065259
decisionTree,0.82307946,0.818809981,0.819873272,0.811565492,0.818975901,0.814138285,0.818809981
decisionTree,0.739666453,0.741650672,0.740094645,0.732973209,0.727423,0.72959694,0.741650672
decisionTree,0.841696194,0.838003839,0.839489324,0.803814049,0.815171431,0.809008305,0.838003839
decisionTree,0.793204069,0.762763916,0.772388192,0.707659085,0.744685965,0.718294603,0.762763916
decisionTree,0.877114958,0.856429942,0.864441697,0.723228451,0.77957126,0.745234539,0.856429942
decisionTree,0.84776293,0.847600768,0.847678602,0.837141287,0.837830738,0.83748237,0.847600768
decisionTree,0.814071877,0.818809981,0.814758791,0.792255062,0.767183416,0.777451014,0.818809981
decisionTree,0.788272302,0.78925144,0.778938093,0.786847602,0.735113945,0.748925096,0.78925144
decisionTree,0.815513029,0.816820276,0.81608526,0.791459672,0.78681845,0.789036669,0.816820276
random,0.886397593,0.880998081,0.875262964,0.897763084,0.827230677,0.851119146,0.880998081
random,0.859550419,0.859117083,0.859296363,0.853088614,0.854890568,0.853949595,0.859117083
random,0.792717605,0.788867562,0.782646318,0.796376674,0.763069001,0.770821017,0.788867562
random,0.889091234,0.889827255,0.886538163,0.886138847,0.842489539,0.860151234,0.889827255
random,0.852598579,0.853742802,0.853127699,0.810228666,0.805053083,0.807573855,0.853742802
random,0.938044471,0.940115163,0.938568287,0.894630527,0.855836783,0.873704977,0.940115163
random,0.900016485,0.899424184,0.898145742,0.901881662,0.881920717,0.890094017,0.899424184
random,0.869223986,0.8621881,0.852853832,0.882374084,0.789974263,0.817962268,0.8621881
random,0.832174663,0.809596929,0.791715484,0.853059068,0.738216999,0.758634809,0.809596929
random,0.869652675,0.867895545,0.862675289,0.873776552,0.818668594,0.838172043,0.867895545
random,1,1,1,1,1,1,1
random,0.81,0.9,0.852631579,0.45,0.5,0.473684211,0.9
random,0.64,0.8,0.711111111,0.4,0.5,0.444444444,0.8
random,0.81,0.9,0.852631579,0.45,0.5,0.473684211,0.9
random,0.49,0.7,0.576470588,0.35,0.5,0.411764706,0.7
random,1,1,1,1,1,1,1
random,1,1,1,1,1,1,1
random,1,1,1,1,1,1,1
random,0.81,0.9,0.852631579,0.45,0.5,0.473684211,0.9
random,1,1,1,1,1,1,1
cnn_epoch_2_batch_size_20,0.81,0.9,0.852631579,0.45,0.5,0.473684211,0.9
cnn_epoch_2_batch_size_20,0.751111111,0.866666667,0.804761905,0.433333333,0.5,0.464285714,0.866666667
cnn_epoch_2_batch_size_20,1,1,1,1,1,1,1
cnn_epoch_2_batch_size_20,0.814814815,0.833333333,0.823000898,0.611111111,0.586538462,0.595687332,0.833333333
cnn_epoch_2_batch_size_20,0.968333333,0.966666667,0.966300366,0.975,0.954545455,0.963369963,0.966666667
cnn_epoch_2_batch_size_20,0.902777778,0.766666667,0.795713634,0.708333333,0.86,0.712722298,0.766666667
cnn_epoch_2_batch_size_20,0.943589744,0.933333333,0.934259259,0.923076923,0.947368421,0.930555556,0.933333333
cnn_epoch_2_batch_size_20,0.933333333,0.933333333,0.933333333,0.930555556,0.930555556,0.930555556,0.933333333
cnn_epoch_2_batch_size_20,1,1,1,1,1,1,1
cnn_epoch_2_batch_size_20,0.955555556,0.933333333,0.938666667,0.833333333,0.961538462,0.88,0.933333333
cnn_epoch_2_language_256_cnode_64,0.863371781,0.852975048,0.842368874,0.879550196,0.782348185,0.809360221,0.852975048
cnn_epoch_2_language_256_cnode_64,0.849991286,0.846449136,0.847290359,0.839550181,0.847081993,0.842331055,0.846449136
cnn_epoch_2_language_256_cnode_64,0.801908203,0.800767754,0.796800206,0.803353374,0.779988177,0.786744884,0.800767754
cnn_epoch_2_language_256_cnode_64,0.894457171,0.895585413,0.894797566,0.878617251,0.867357021,0.872675651,0.895585413
cnn_epoch_2_language_256_cnode_64,0.846404945,0.821880998,0.828734604,0.772184635,0.817946896,0.78725052,0.821880998
cnn_epoch_2_language_256_cnode_64,0.944736902,0.945489443,0.945063428,0.895149816,0.882986399,0.888920719,0.945489443
cnn_epoch_2_language_256_cnode_64,0.910439917,0.910556622,0.910491327,0.904979818,0.903798962,0.904381547,0.910556622
cnn_epoch_2_language_256_cnode_64,0.898620814,0.897888676,0.894714052,0.901160732,0.854019267,0.87268738,0.897888676
cnn_epoch_2_language_256_cnode_64,0.86163533,0.855662188,0.84933345,0.871068524,0.810649312,0.829343901,0.855662188
cnn_epoch_2_language_256_cnode_64,0.924188838,0.924347158,0.923372232,0.923217805,0.90193003,0.911413139,0.924347158
cnn_epoch_2_language_256_cnode_128,0.86186611,0.852207294,0.841740161,0.87709732,0.782104323,0.808728433,0.852207294
cnn_epoch_2_language_256_cnode_128,0.853358925,0.853358925,0.853358925,0.847585594,0.847585594,0.847585594,0.853358925
cnn_epoch_2_language_256_cnode_128,0.81129088,0.80806142,0.803374375,0.814806586,0.785272331,0.793169398,0.80806142
cnn_epoch_2_language_256_cnode_128,0.903611377,0.904798464,0.903589346,0.893396682,0.873892969,0.882780804,0.904798464
cnn_epoch_2_language_256_cnode_128,0.864617453,0.863723608,0.864145391,0.821334757,0.825337862,0.823297333,0.863723608
cnn_epoch_2_language_256_cnode_128,0.945612565,0.946257198,0.945898373,0.896056442,0.885617978,0.89072908,0.946257198
cnn_epoch_2_language_256_cnode_128,0.909862475,0.910172745,0.909921176,0.905954272,0.901431493,0.90358359,0.910172745
cnn_epoch_2_language_256_cnode_128,0.899435411,0.896353167,0.892088813,0.907919958,0.845527041,0.868611691,0.896353167
cnn_epoch_2_language_256_cnode_128,0.865035464,0.850671785,0.841323439,0.882528534,0.795996827,0.818553329,0.850671785
cnn_epoch_2_language_256_cnode_128,0.919969169,0.920506912,0.919832607,0.91511893,0.901262736,0.907668669,0.920506912
cnn_epoch_2_language_256_cnode_256,0.863871753,0.861036468,0.854339332,0.869839774,0.804258802,0.826145583,0.861036468
cnn_epoch_2_language_256_cnode_256,0.858973465,0.85950096,0.859027057,0.855630466,0.85086329,0.853020342,0.85950096
cnn_epoch_2_language_256_cnode_256,0.800104024,0.792706334,0.785168935,0.80617165,0.764119853,0.772804504,0.792706334
cnn_epoch_2_language_256_cnode_256,0.898160071,0.899040307,0.896645101,0.893851757,0.85809422,0.873198448,0.899040307
cnn_epoch_2_language_256_cnode_256,0.859322258,0.85681382,0.857910371,0.811471894,0.82116362,0.816075264,0.85681382
cnn_epoch_2_language_256_cnode_256,0.943388884,0.943570058,0.94347725,0.887678045,0.885136014,0.886400482,0.943570058
cnn_epoch_2_language_256_cnode_256,0.909655816,0.908637236,0.907423691,0.912744567,0.891343401,0.900063767,0.908637236
cnn_epoch_2_language_256_cnode_256,0.889161916,0.89059501,0.888907686,0.87997379,0.857209625,0.867271493,0.89059501
cnn_epoch_2_language_256_cnode_256,0.860020477,0.843378119,0.83254683,0.878925612,0.785100228,0.807938901,0.843378119
cnn_epoch_2_language_256_cnode_256,0.924078037,0.924347158,0.923457464,0.922283895,0.902860197,0.911594871,0.924347158
cnn_epoch_2_language_512_cnode_64,0.863260913,0.854510557,0.844677746,0.877537012,0.786354103,0.812593521,0.854510557
cnn_epoch_2_language_512_cnode_64,0.849648412,0.846449136,0.847243434,0.839510707,0.84661607,0.842209575,0.846449136
cnn_epoch_2_language_512_cnode_64,0.797787861,0.796161228,0.791637406,0.799688243,0.774051549,0.78106711,0.796161228
cnn_epoch_2_language_512_cnode_64,0.894498159,0.892898273,0.893537525,0.868633325,0.877542348,0.872868348,0.892898273
cnn_epoch_2_language_512_cnode_64,0.869210631,0.870633397,0.869825072,0.833385378,0.825154818,0.829117784,0.870633397
cnn_epoch_2_language_512_cnode_64,0.938989333,0.9378119,0.938340812,0.871102949,0.883947368,0.877350627,0.9378119
cnn_epoch_2_language_512_cnode_64,0.91435439,0.913627639,0.913872864,0.906147117,0.910786535,0.908334166,0.913627639
cnn_epoch_2_language_512_cnode_64,0.896563611,0.890978887,0.885428032,0.909539128,0.833215622,0.859634384,0.890978887
cnn_epoch_2_language_512_cnode_64,0.86200112,0.844145873,0.83309289,0.881934347,0.785188868,0.808414245,0.844145873
cnn_epoch_2_language_512_cnode_64,0.922781541,0.923195084,0.922899637,0.914855286,0.908520063,0.911574143,0.923195084
cnn_epoch_2_language_512_cnode_128,0.86561116,0.857581574,0.848407527,0.879180874,0.791487416,0.817399907,0.857581574
cnn_epoch_2_language_512_cnode_128,0.857414923,0.856429942,0.854495585,0.859278301,0.840371905,0.847176785,0.856429942
cnn_epoch_2_language_512_cnode_128,0.802305943,0.798848369,0.793502338,0.805844785,0.774714089,0.782558968,0.798848369
cnn_epoch_2_language_512_cnode_128,0.896994239,0.898272553,0.897224831,0.88362207,0.868129747,0.87530484,0.898272553
cnn_epoch_2_language_512_cnode_128,0.847833068,0.824952015,0.831448792,0.775087498,0.819533146,0.79013848,0.824952015
cnn_epoch_2_language_512_cnode_128,0.939310394,0.94049904,0.939793364,0.887094854,0.869154347,0.877794622,0.94049904
cnn_epoch_2_language_512_cnode_128,0.910222897,0.910556622,0.910214295,0.907100185,0.900913953,0.90380789,0.910556622
cnn_epoch_2_language_512_cnode_128,0.904757518,0.904798464,0.90249127,0.904581762,0.867084524,0.882684591,0.904798464
cnn_epoch_2_language_512_cnode_128,0.869141908,0.869097889,0.866295288,0.869264939,0.838844986,0.850628951,0.869097889
cnn_epoch_2_language_512_cnode_128,0.919713758,0.919738863,0.918519532,0.919581016,0.894804139,0.905625457,0.919738863
cnn_epoch_2_language_512_cnode_256,0.872509168,0.865642994,0.857852103,0.885057234,0.804122795,0.829376094,0.865642994
cnn_epoch_2_language_512_cnode_256,0.845517317,0.842226488,0.843050788,0.835218239,0.842304827,0.837891278,0.842226488
cnn_epoch_2_language_512_cnode_256,0.806996184,0.8,0.793190588,0.813001869,0.772618485,0.781499876,0.8
cnn_epoch_2_language_512_cnode_256,0.895147729,0.894049904,0.889991662,0.898719008,0.841706542,0.863588345,0.894049904
cnn_epoch_2_language_512_cnode_256,0.86771495,0.871401152,0.86622906,0.851020965,0.798560415,0.819382563,0.871401152
cnn_epoch_2_language_512_cnode_256,0.941565311,0.943570058,0.941860188,0.90530299,0.858950325,0.880003159,0.943570058
cnn_epoch_2_language_512_cnode_256,0.904137411,0.902111324,0.902646585,0.892890913,0.901584081,0.896704287,0.902111324
cnn_epoch_2_language_512_cnode_256,0.891629337,0.885220729,0.878853589,0.905560494,0.823793512,0.851171556,0.885220729
cnn_epoch_2_language_512_cnode_256,0.853069121,0.82571977,0.809472155,0.878488314,0.75616567,0.77927025,0.82571977
cnn_epoch_2_language_512_cnode_256,0.913620533,0.91359447,0.912111171,0.913744129,0.886233119,0.898042766,0.91359447
cnn_epoch_2_language_128_cnode_64,0.860080165,0.861804223,0.858321347,0.853921882,0.819854782,0.833439898,0.861804223
cnn_epoch_2_language_128_cnode_64,0.857484017,0.857965451,0.857076455,0.855740539,0.846937713,0.850637585,0.857965451
cnn_epoch_2_language_128_cnode_64,0.795138383,0.793090211,0.78813116,0.797398922,0.769996388,0.777184684,0.793090211
cnn_epoch_2_language_128_cnode_64,0.89333117,0.894817658,0.893053344,0.883418149,0.858499353,0.869521806,0.894817658
cnn_epoch_2_language_128_cnode_64,0.861695785,0.854510557,0.857138875,0.807200589,0.830261968,0.817270767,0.854510557
cnn_epoch_2_language_128_cnode_64,0.936714832,0.9378119,0.937182864,0.88049007,0.865399172,0.872706663,0.9378119
cnn_epoch_2_language_128_cnode_64,0.906371289,0.90671785,0.906424989,0.902457541,0.897434324,0.899810372,0.90671785
cnn_epoch_2_language_128_cnode_64,0.894410591,0.894433781,0.891441775,0.894323587,0.85188345,0.868990646,0.894433781
cnn_epoch_2_language_128_cnode_64,0.84820604,0.840307102,0.831805915,0.859011453,0.789018837,0.808547385,0.840307102
cnn_epoch_2_language_128_cnode_64,0.918392121,0.917050691,0.915128243,0.923289402,0.885686477,0.901091318,0.917050691
cnn_epoch_2_language_128_cnode_128,0.858924754,0.854126679,0.845755066,0.867761833,0.791189626,0.814917441,0.854126679
cnn_epoch_2_language_128_cnode_128,0.850313731,0.846833013,0.847664452,0.839933002,0.847403329,0.842705163,0.846833013
cnn_epoch_2_language_128_cnode_128,0.786869209,0.784644914,0.785405115,0.777183413,0.781126879,0.778784451,0.784644914
cnn_epoch_2_language_128_cnode_128,0.887765632,0.889443378,0.887486114,0.877109945,0.851285941,0.862624203,0.889443378
cnn_epoch_2_language_128_cnode_128,0.843588292,0.82840691,0.833349398,0.776758363,0.810727053,0.789834762,0.82840691
cnn_epoch_2_language_128_cnode_128,0.932172392,0.925911708,0.928215432,0.840498097,0.885709639,0.860749242,0.925911708
cnn_epoch_2_language_128_cnode_128,0.901758574,0.902111324,0.901502824,0.899658109,0.889837974,0.89425614,0.902111324
cnn_epoch_2_language_128_cnode_128,0.888978369,0.885604607,0.880317014,0.897437829,0.829697826,0.85380052,0.885604607
cnn_epoch_2_language_128_cnode_128,0.858193851,0.852591171,0.846127779,0.867041987,0.807278396,0.82571292,0.852591171
cnn_epoch_2_language_128_cnode_128,0.906071244,0.905529954,0.903421209,0.908112173,0.873142698,0.887519201,0.905529954
cnn_epoch_2_language_128_cnode_256,0.858451572,0.843761996,0.83033386,0.878644385,0.765349065,0.793416272,0.843761996
cnn_epoch_2_language_128_cnode_256,0.857515607,0.857965451,0.857638106,0.853442913,0.850199174,0.851710822,0.857965451
cnn_epoch_2_language_128_cnode_256,0.799941082,0.797696737,0.792908697,0.802441179,0.774910228,0.782241388,0.797696737
cnn_epoch_2_language_128_cnode_256,0.892236948,0.892130518,0.888448049,0.892618022,0.842234206,0.862077613,0.892130518
cnn_epoch_2_language_128_cnode_256,0.86631056,0.87024952,0.865853652,0.845647434,0.801657161,0.819733665,0.87024952
cnn_epoch_2_language_128_cnode_256,0.937053816,0.938195777,0.937534796,0.881608574,0.865623891,0.873350045,0.938195777
cnn_epoch_2_language_128_cnode_256,0.896510769,0.894049904,0.894689543,0.88429966,0.893699858,0.888341608,0.894049904
cnn_epoch_2_language_128_cnode_256,0.896993447,0.894817658,0.890777501,0.903326993,0.845476692,0.867256357,0.894817658
cnn_epoch_2_language_128_cnode_256,0.850750639,0.832245681,0.81938689,0.870339674,0.769738621,0.792162692,0.832245681
cnn_epoch_2_language_128_cnode_256,0.918799194,0.919354839,0.918854109,0.912072968,0.901961709,0.90673117,0.919354839
cnn_epoch_3_language_256_cnode_64,0.867392942,0.861804223,0.854037094,0.877849613,0.800664634,0.824972004,0.861804223
cnn_epoch_3_language_256_cnode_64,0.850162773,0.845297505,0.846296787,0.838636179,0.847515751,0.841561872,0.845297505
cnn_epoch_3_language_256_cnode_64,0.798213303,0.79462572,0.788939907,0.801778557,0.769832279,0.777639058,0.79462572
cnn_epoch_3_language_256_cnode_64,0.903224705,0.904414587,0.903263817,0.892465346,0.873998501,0.882452431,0.904414587
cnn_epoch_3_language_256_cnode_64,0.884003213,0.886756238,0.884158291,0.863614633,0.831667097,0.845678114,0.886756238
cnn_epoch_3_language_256_cnode_64,0.942142065,0.937044146,0.938860385,0.861058783,0.905319338,0.881085192,0.937044146
cnn_epoch_3_language_256_cnode_64,0.915433151,0.915163148,0.915274234,0.908631156,0.910777096,0.909677196,0.915163148
cnn_epoch_3_language_256_cnode_64,0.915852584,0.916314779,0.914933451,0.913065656,0.886632235,0.898275289,0.916314779
cnn_epoch_3_language_256_cnode_64,0.889323318,0.882533589,0.877979876,0.901099255,0.842909819,0.862184182,0.882533589
cnn_epoch_3_language_256_cnode_64,0.934108509,0.932795699,0.933198812,0.91937942,0.929566785,0.924153341,0.932795699
cnn_epoch_3_language_256_cnode_128,0.863206193,0.854126679,0.844127281,0.87786712,0.785432582,0.811834702,0.854126679
cnn_epoch_3_language_256_cnode_128,0.85172993,0.851055662,0.851319149,0.844607978,0.847055342,0.84575298,0.851055662
cnn_epoch_3_language_256_cnode_128,0.811115018,0.807293666,0.802292408,0.815094209,0.783747146,0.791876746,0.807293666
cnn_epoch_3_language_256_cnode_128,0.904988225,0.904798464,0.902031098,0.905766974,0.861045596,0.879317405,0.904798464
cnn_epoch_3_language_256_cnode_128,0.87373739,0.876775432,0.874384702,0.847539485,0.821549319,0.833152793,0.876775432
cnn_epoch_3_language_256_cnode_128,0.946390778,0.947024952,0.946671253,0.897638651,0.887158486,0.892290093,0.947024952
cnn_epoch_3_language_256_cnode_128,0.917996493,0.917466411,0.916611963,0.91999192,0.902932201,0.910179055,0.917466411
cnn_epoch_3_language_256_cnode_128,0.909012397,0.907869482,0.905144036,0.913147299,0.866833476,0.885423493,0.907869482
cnn_epoch_3_language_256_cnode_128,0.870280153,0.851823417,0.841576168,0.891246358,0.794370247,0.818295137,0.851823417
cnn_epoch_3_language_256_cnode_128,0.937911294,0.938172043,0.937985053,0.931598423,0.92640826,0.928930794,0.938172043
cnn_epoch_3_language_256_cnode_256,0.871669159,0.867946257,0.861582128,0.879505535,0.812210605,0.834790278,0.867946257
cnn_epoch_3_language_256_cnode_256,0.858775379,0.857965451,0.856156751,0.860379416,0.842433791,0.848992605,0.857965451
cnn_epoch_3_language_256_cnode_256,0.806181905,0.804222649,0.799962858,0.808504886,0.782614239,0.78986167,0.804222649
cnn_epoch_3_language_256_cnode_256,0.897244658,0.898272553,0.897568336,0.88157661,0.871152658,0.876099792,0.898272553
cnn_epoch_3_language_256_cnode_256,0.873801394,0.876391555,0.874591498,0.84468521,0.825163663,0.83412237,0.876391555
cnn_epoch_3_language_256_cnode_256,0.94777143,0.949328215,0.94801932,0.915132007,0.874322886,0.893134981,0.949328215
cnn_epoch_3_language_256_cnode_256,0.919939247,0.919769674,0.919842916,0.913768664,0.915282366,0.914512502,0.919769674
cnn_epoch_3_language_256_cnode_256,0.903066331,0.903262956,0.900964246,0.902207792,0.865627196,0.880890172,0.903262956
cnn_epoch_3_language_256_cnode_256,0.884408837,0.881381958,0.877876979,0.890905758,0.847050028,0.862830743,0.881381958
cnn_epoch_3_language_256_cnode_256,0.926296771,0.926651306,0.925923648,0.923532605,0.907043254,0.914577127,0.926651306
cnn_epoch_3_language_512_cnode_64,0.871819823,0.869865643,0.864470746,0.876449954,0.818417386,0.838905985,0.869865643
cnn_epoch_3_language_512_cnode_64,0.864940349,0.865259117,0.865052245,0.860687317,0.858478879,0.859532036,0.865259117
cnn_epoch_3_language_512_cnode_64,0.80579496,0.803454894,0.798948993,0.808463749,0.781235168,0.788671248,0.803454894
cnn_epoch_3_language_512_cnode_64,0.898717646,0.899040307,0.898866595,0.879591,0.876987415,0.878272088,0.899040307
cnn_epoch_3_language_512_cnode_64,0.885692299,0.888291747,0.885993935,0.864440972,0.835607151,0.848423226,0.888291747
cnn_epoch_3_language_512_cnode_64,0.944730364,0.94318618,0.943844215,0.879979923,0.89800414,0.88865901,0.94318618
cnn_epoch_3_language_512_cnode_64,0.913053256,0.913243762,0.912693761,0.911939134,0.901618688,0.906260708,0.913243762
cnn_epoch_3_language_512_cnode_64,0.909187638,0.909021113,0.909100582,0.892318637,0.893691787,0.893000143,0.909021113
cnn_epoch_3_language_512_cnode_64,0.899004099,0.895585413,0.892689549,0.906725957,0.863771647,0.879607654,0.895585413
cnn_epoch_3_language_512_cnode_64,0.935743098,0.935867896,0.935208317,0.934802,0.91726431,0.925260572,0.935867896
cnn_epoch_3_language_512_cnode_128,0.878424492,0.8756238,0.870369559,0.884961751,0.824564135,0.845841096,0.8756238
cnn_epoch_3_language_512_cnode_128,0.84783935,0.842610365,0.843660578,0.836004101,0.845111086,0.838906486,0.842610365
cnn_epoch_3_language_512_cnode_128,0.817873403,0.811516315,0.805744011,0.823751868,0.785998929,0.795068591,0.811516315
cnn_epoch_3_language_512_cnode_128,0.904191261,0.905182342,0.904447123,0.89063379,0.878699667,0.884332302,0.905182342
cnn_epoch_3_language_512_cnode_128,0.869595115,0.865642994,0.867225375,0.821751651,0.837283001,0.828913513,0.865642994
cnn_epoch_3_language_512_cnode_128,0.944495709,0.945105566,0.944770149,0.893350859,0.88385275,0.888511589,0.945105566
cnn_epoch_3_language_512_cnode_128,0.916823045,0.917082534,0.916697257,0.914799651,0.907159037,0.910688776,0.917082534
cnn_epoch_3_language_512_cnode_128,0.905471084,0.904414587,0.90151515,0.909213152,0.862235445,0.880975777,0.904414587
cnn_epoch_3_language_512_cnode_128,0.891451875,0.883301344,0.878457661,0.90486917,0.84224437,0.862510452,0.883301344
cnn_epoch_3_language_512_cnode_128,0.941479037,0.94124424,0.941342904,0.93166022,0.934569467,0.933090997,0.94124424
cnn_epoch_3_language_512_cnode_256,0.875169702,0.872552783,0.867101439,0.88121812,0.820710164,0.841902334,0.872552783
cnn_epoch_3_language_512_cnode_256,0.856486927,0.856046065,0.856229253,0.849912896,0.851698643,0.850765935,0.856046065
cnn_epoch_3_language_512_cnode_256,0.815417986,0.803071017,0.794612786,0.824461102,0.772290266,0.7822229,0.803071017
cnn_epoch_3_language_512_cnode_256,0.901955015,0.902879079,0.90224682,0.887015987,0.87706568,0.881803794,0.902879079
cnn_epoch_3_language_512_cnode_256,0.873940247,0.863339731,0.866694797,0.817389192,0.850254492,0.830897949,0.863339731
cnn_epoch_3_language_512_cnode_256,0.944394128,0.946257198,0.944453654,0.913703379,0.861614429,0.885033339,0.946257198
cnn_epoch_3_language_512_cnode_256,0.919577531,0.919385797,0.919467423,0.913298239,0.914975617,0.914120879,0.919385797
cnn_epoch_3_language_512_cnode_256,0.908352211,0.903262956,0.898902509,0.921370938,0.851205655,0.876593758,0.903262956
cnn_epoch_3_language_512_cnode_256,0.885097026,0.871785029,0.864826875,0.903054355,0.823067999,0.846054354,0.871785029
cnn_epoch_3_language_512_cnode_256,0.940990534,0.94124424,0.940849,0.938144084,0.926508017,0.931980206,0.94124424
cnn_epoch_3_language_128_cnode_64,0.865259801,0.854894434,0.844570047,0.881550703,0.785036773,0.812117056,0.854894434
cnn_epoch_3_language_128_cnode_64,0.858921367,0.857581574,0.858014027,0.851022821,0.855313605,0.852915103,0.857581574
cnn_epoch_3_language_128_cnode_64,0.805461934,0.799232246,0.792675504,0.810967507,0.772408315,0.781086281,0.799232246
cnn_epoch_3_language_128_cnode_64,0.897244658,0.898272553,0.897568336,0.88157661,0.871152658,0.876099792,0.898272553
cnn_epoch_3_language_128_cnode_64,0.868121475,0.867178503,0.867620649,0.825721389,0.830087769,0.827859053,0.867178503
cnn_epoch_3_language_128_cnode_64,0.933187904,0.923992322,0.927106667,0.834549256,0.894405677,0.860293114,0.923992322
cnn_epoch_3_language_128_cnode_64,0.912369993,0.912092131,0.912207238,0.905370006,0.90749882,0.906407592,0.912092131
cnn_epoch_3_language_128_cnode_64,0.901884653,0.902111324,0.899762156,0.900903381,0.864094519,0.879422776,0.902111324
cnn_epoch_3_language_128_cnode_64,0.87757933,0.871017274,0.8657233,0.888474026,0.829012069,0.848144591,0.871017274
cnn_epoch_3_language_128_cnode_64,0.921726434,0.921658986,0.920453529,0.922079002,0.896843093,0.907851023,0.921658986
cnn_epoch_3_language_128_cnode_128,0.877152763,0.878694818,0.876917139,0.868285947,0.847288417,0.856473829,0.878694818
cnn_epoch_3_language_128_cnode_128,0.861357712,0.861420345,0.861387856,0.856065196,0.855731435,0.855897057,0.861420345
cnn_epoch_3_language_128_cnode_128,0.809908893,0.804990403,0.79937163,0.814658807,0.780048269,0.788519242,0.804990403
cnn_epoch_3_language_128_cnode_128,0.896893978,0.898272553,0.896912762,0.885579061,0.8654847,0.874591274,0.898272553
cnn_epoch_3_language_128_cnode_128,0.857560713,0.854510557,0.855817253,0.808328066,0.819610824,0.813634412,0.854510557
cnn_epoch_3_language_128_cnode_128,0.93902786,0.940882917,0.939577478,0.893993896,0.860650503,0.876194938,0.940882917
cnn_epoch_3_language_128_cnode_128,0.91619894,0.915930902,0.916040983,0.909446443,0.911596665,0.910494597,0.915930902
cnn_epoch_3_language_128_cnode_128,0.900312469,0.897504798,0.893428649,0.908257079,0.847763208,0.870360834,0.897504798
